ϵf,a_fm,r_fm,a⁻¹,r,N
0.001,-7.314972336127933,-0.9177941642452562 + 0.15879709878352422im,-0.026975765776368194 + 0.001379780366489135im,-4.651133678652573 + 0.804740935383635im,0.007022456305116632 + 0.0005901737494749419im
0.002,-7.31529566101469,-0.8717872033388332 + 0.20321617892326763im,-0.02697457348875345 + 0.0013795859245030312im,-4.417982789640019 + 1.0298448722588756im,0.007022771423022298 + 0.0005901649083568423im
0.003,-7.315462053373415,-0.85640858377459 + 0.21910341081995832im,-0.02697395994406199 + 0.001379576429433519im,-4.340048086878798 + 1.1103570853606308im,0.007022930537366885 + 0.0005901839126174962im
0.005,-7.315643124753703,-0.8414004419924681 + 0.23237693214377028im,-0.02697329230458374 + 0.0013794439383119808im,-4.263990865754251 + 1.1776237171050852im,0.007023107955512898 + 0.0005901725455184315im
0.007,-7.315744361003579,-0.8333403399198146 + 0.23764270263254647im,-0.02697291904455373 + 0.0013793578578778828im,-4.2231444388930335 + 1.204309223963306im,0.007023207608866872 + 0.0005901631244682035im
0.01,-7.315912749221779,-0.8250805379073602 + 0.24448954546236557im,-0.02697229821678647 + 0.0013792572872690847im,-4.181285986512568 + 1.239007179691103im,0.0070233726469517 + 0.0005901579490622199im
0.02,-7.3162867825719,-0.8089014895536917 + 0.25395718614658097im,-0.026970919301585045 + 0.0013787738632886335im,-4.099294926187862 + 1.2869866332104527im,0.007023748927636608 + 0.0005900764691781858im
0.05,-7.317166105665756,-0.7839641916142936 + 0.26644195749483357im,-0.02696767813528351 + 0.0013775373157056008im,-3.9729194154044514 + 1.3502560924751958im,0.007024642241358391 + 0.0005898516571189593im
0.1,-7.31853853480988,-0.7572164402849477 + 0.27826408565126703im,-0.026962620946987488 + 0.0013754629953879106im,-3.8373690143638752 + 1.4101674544818963im,0.007026051939089757 + 0.0005894455294738059im
0.2,-7.321201242329263,-0.7200267821453317 + 0.29386403868073796im,-0.02695281469099732 + 0.001371441304636546im,-3.6489018414297476 + 1.4892238156437019im,0.007028812009137941 + 0.0005886150374758442im
0.5,-7.328883769989978,-0.6462765828282914 + 0.3214196714616829im,-0.026924561310142026 + 0.0013593512011550485im,-3.2751556909158044 + 1.6288683423327897im,0.007036911620393506 + 0.0005858446863758805im
1.0,-7.340757312394705,-0.5640052695977433 + 0.34594596689205437im,-0.026881011318385065 + 0.0013390357321912613im,-2.858226829673533 + 1.753161003076163im,0.0070496652245536735 + 0.0005805749966514638im
2.0,-7.360737286274288,-0.4577324150646177 + 0.3725707942574933im,-0.02680804554293216 + 0.0012988740879474733im,-2.319664620300538 + 1.8880884585689088im,0.007071855852049232 + 0.0005691416620910326im
