g,dm,δdm
 50.000, -358.98, 40.13
 30.000, -358.66, 40.11
 20.000, -358.00, 40.06
 15.000, -357.02, 40.11
 10.000, -354.13, 40.37
  9.636, -353.70, 40.48
  9.272, -353.26, 40.49
  8.908, -352.78, 40.55
  8.544, -352.24, 40.63
  8.180, -351.64, 40.71
  7.816, -350.96, 40.87
  7.452, -350.21, 40.90
  7.088, -349.36, 41.00
  6.724, -348.41, 41.12
  6.360, -347.33, 41.22
  5.996, -346.12, 41.33
  5.632, -344.78, 41.44
  5.268, -343.27, 41.54
  4.904, -341.61, 41.64
  4.540, -339.78, 41.72
  4.176, -337.81, 41.81
  3.812, -335.66, 41.89
  3.448, -333.46, 41.99
  3.084, -331.23, 42.13
  2.720, -329.02, 42.31
  2.356, -326.99, 42.74
  1.992, -325.14, 42.01
  1.628, -323.33, 42.82
